Alloys,Phase,Tg,Tx,Tl,Rc_mm/s,Dmax_mm,Predicted_Tg,Predicted_Tx,Predicted_Tl,delta_Tx,Trg,gamma,Predicted_Phase,Phase_Confidence,Predicted_Dmax_mm,Predicted_Rc_Ks
Al20Mo20Ta20Ti20V20,CMA,877,1017,1392,NAN,NAN,883.16864,1030.6455,1391.9958,147.47686767578125,0.6344621216970981,0.4529982392295157,CMA,0.9975268217183128,1.6128858,70540.72284037549
Al20Cr20Mo20Ti20W20,CMA,934,1165,1498,NAN,NAN,930.508,1164.0067,1489.2904,233.49871826171875,0.6247995638128248,0.48103458265134946,CMA,0.9973214230161074,1.647575,29638.72201992131
Al2.4Co24.4Cr24.4Fe24.4Ni24.4,CMA,882,1080,1469,NAN,NAN,875.9856,1070.4935,1460.2778,194.5079345703125,0.5998759800966279,0.45820754524739704,CMA,0.9974809431388084,0.94525063,74313.14335824917
Al2.5Co25.0Fe25.0Ni25.0Cr22.5,CMA,881,1078,1469,NAN,NAN,875.403,1069.5797,1458.4999,194.17669677734375,0.6002078082991248,0.45827944045640717,CMA,0.9974243222743412,0.985305,73723.09439284613
Al5Co25Fe25Ni25Cr20,CMA,873,1047,1439,NAN,NAN,867.1004,1045.0022,1437.7305,177.90179443359375,0.6031035869928463,0.45339647700411856,CMA,0.9974813337992163,0.9392035,75300.40875339134
Al7Cr23.3Fe34.9Mn23.3Ni11.6,CMA,813,865,1277,NAN,NAN,812.4664,864.31354,1276.3325,51.84716796875,0.6365632444492563,0.413784946977433,CMA,0.9973020361969173,1.7269512,76615.51020933689
Al7Cr23.3Fe23.3Ni23.3V23.3,CMA,863,1055,1467,NAN,NAN,858.5883,1050.1456,1451.9524,191.55731201171875,0.5913336568470827,0.4545021107542579,CMA,0.9973542082838621,1.1281526,8578.668461167008
Al7.5Co25Fe25Ni25Cr17.5,CMA,873,1047,1439,NAN,NAN,865.0638,1042.9741,1435.221,177.91033935546875,0.6027390997786062,0.4534108790720833,CMA,0.9974940243776956,0.97407794,76849.38529396929
Al4.8Cr19.1Cu19.1Fe19.1Ni38.1,CMA,834,1000,1438,NAN,NAN,831.40985,997.10254,1428.3059,165.69268798828125,0.5820950864231674,0.4412513100237762,CMA,0.9970747251207946,1.0974623,603.6516643746616
Al7Co23.3Cr23.3Fe23.3Ni23.3,CMA,872,1046,1439,NAN,NAN,865.1052,1043.1794,1437.7375,178.07421875,0.601712896289387,0.45299638142564114,CMA,0.997519657878389,0.9222837,74973.8638157836
Al4.8Cr23.8Cu23.8Fe23.8Ni23.8,CMA,826,962,1397,NAN,NAN,821.963,963.9239,1394.4344,141.96087646484375,0.5894597725489873,0.4349056999697302,CMA,0.9974773538715382,0.86268646,55.24635143222078
Al7.4Cr18.5Cu18.5Fe18.5Ni37,CMA,822,941,1373,NAN,NAN,819.5953,941.78046,1371.1755,122.1851806640625,0.5977318393578731,0.4298854316295871,CMA,0.9975131053553583,1.0524695,54.63809767814067
Al9.1Co22.7Cr22.7Fe22.7Ni22.7,CMA,845,1013,1439,NAN,NAN,840.7298,1014.02673,1432.4238,173.29693603515625,0.5869281010661289,0.44608807870634837,CMA,0.9973811802237105,0.9100332,73833.8088454934
Al3.9Cr19.2Cu19.2Fe19.2Ni38.5,CMA,840,1007,1438,NAN,NAN,835.489,1002.70386,1429.4443,167.21484375,0.584485168584001,0.44270788700904057,CMA,0.9974859234490083,1.0532893,620.1204668722669
Al5.7Co18.9Cr37.7Fe18.9Ni18.9,CMA,881,1077,1468,NAN,NAN,874.9023,1068.4274,1456.8093,193.52508544921875,0.6005605997964503,0.45821591490646896,CMA,0.9973736277551385,1.7439787,72358.72181921129
Al11.1Cr22.2Fe22.2Ni22.2V22.2,CMA,848,942,1333,NAN,NAN,837.9654,938.74286,1325.7605,100.7774658203125,0.6320639318345252,0.4338547977552352,CMA,0.9973104423592815,1.3168367,5372.517707860566
Al10Co25Fe25Ni25Cr15,CMA,840,1006,1438,NAN,NAN,835.4775,1006.5341,1430.4948,171.056640625,0.5840479159095022,0.4441952578981093,CMA,0.9975075091510064,0.97024566,78301.09742635138
Al6.7Cr22.2Fe33.3Mn22.2Ni11.1Ti4.4,CMA,810,848,1257,NAN,NAN,805.22644,842.17694,1248.1963,36.95050048828125,0.6451120288416176,0.4101332515814898,CMA,0.9974701229737112,1.5574193,39712.107064503994
Al6.98Cr23.26Fe34.88Mn23.26Ni11.63,CMA,813,865,1277,NAN,NAN,812.488,864.3415,1276.371,51.853515625,0.6365609952763147,0.4137864323623296,CMA,0.9973409383913097,1.7279435,76606.97244189895
Al6.3Cr20.8Fe31.3Mn20.8Ni10.4Ti10.4,CMA,806,830,1235,NAN,NAN,804.4488,836.6034,1234.248,32.15460205078125,0.6517723836312279,0.4103618438040658,CMA,0.9974399925336265,1.7526916,18769.113029583754
Al6.98Co23.26Fe23.26Fe23.26Ni23.26,CMA,871,1044,1438,NAN,NAN,858.55707,1036.7279,1431.0759,178.17083740234375,0.5999381662651042,0.45279217554221435,CMA,0.9970278766580406,2.1784463,79245.2068493854
Al2.0Co19.6Cr19.6Fe19.6Mn19.6Ni19.6,CMA,843,1011,1439,NAN,NAN,837.3999,1006.4285,1431.1086,169.02862548828125,0.5851406926277687,0.44365207708163673,CMA,0.9974052962079671,0.95049477,74787.64482316056
Al2.2Co19.6Cr19.6Fe19.6Mn19.6Ni19.6,CMA,843,1011,1440,NAN,NAN,836.9588,1006.0278,1431.1157,169.0689697265625,0.5848295759871031,0.443560280045284,CMA,0.9972937312811612,0.94179124,74852.85098437584
Al2.3Co19.5Cr19.5Fe19.5Mn19.5Ni19.5,CMA,844,1005,1429,NAN,NAN,836.9537,1000.96576,1423.1538,164.0120849609375,0.5880978354289188,0.44288414017747585,CMA,0.997480570703159,0.92169714,74888.50734652326
Al0.4Co19.9Cr19.9Fe19.9Mn19.9Ni19.9,CMA,849,1018,1439,NAN,NAN,842.48627,1011.83154,1431.1542,169.34527587890625,0.5886761062656436,0.44502706950692356,CMA,0.9974194987215331,1.0404308,74199.12350004335
Al0.6Co19.9Cr19.9Fe19.9Mn19.9Ni19.9,CMA,845,1014,1439,NAN,NAN,840.0711,1009.368,1432.2468,169.296875,0.5865407348832341,0.444201916767592,CMA,0.9975007720060269,1.025614,74277.16967861433
Al0.8Co19.8Cr19.8Fe19.8Mn19.8Ni19.8,CMA,846,1014,1439,NAN,NAN,839.86993,1008.5472,1431.0549,168.67724609375,0.5868886759777747,0.4441129670993497,CMA,0.9969362752505199,1.0114129,74355.19590119491
Al1.8Co19.6Cr19.6Fe19.6Mn19.6Ni19.6,CMA,843,1011,1439,NAN,NAN,837.55206,1006.50433,1431.2375,168.9522705078125,0.5851943052179255,0.4436305280374942,CMA,0.9974501219070897,0.9591928,74720.52647846263
Al1.6Co19.7Cr19.7Fe19.7Mn19.7Ni19.7,CMA,847,1016,1439,NAN,NAN,840.4271,1010.2251,1431.1401,169.7979736328125,0.5872430675799009,0.4447260334814739,CMA,0.9974800695127044,0.9745318,74648.73496074489
Al2.9Co19.4Cr19.4Fe19.4Mn19.4Ni19.4,CMA,845,992,1409,NAN,NAN,836.08624,988.1716,1405.6453,152.0853271484375,0.5948060042487021,0.44080728090144855,CMA,0.9974922804944536,0.86866397,75074.6889822216
Al2.7Co19.5Cr19.5Fe19.5Mn19.5Ni19.5,CMA,842,989,1409,NAN,NAN,834.4975,986.5186,1406.5181,152.0211181640625,0.5933073434959795,0.44021051508330017,CMA,0.9972218498943421,0.8731668,75011.73973500093
Al3.1Co19.4Cr19.4Fe19.4Mn19.4Ni19.4,CMA,845,992,1409,NAN,NAN,835.9903,988.1401,1405.5608,152.1497802734375,0.594773488812312,0.4408287108277385,CMA,0.9974657700227084,0.8630527,75131.44208936165
Al3.5Co19.3Cr19.3Fe19.3Mn19.3Ni19.3,CMA,844,991,1409,NAN,NAN,835.16644,987.4263,1405.5897,152.25982666015625,0.5941751209400317,0.4406665415686609,CMA,0.997381290748511,0.85174185,75125.42047470227
Al4.8Co19.1Cr19.1Fe19.1Mn19.1Ni19.1,CMA,835,942,1353,NAN,NAN,825.639,939.42084,1351.83,113.7818603515625,0.6107565329151358,0.431427894616415,CMA,0.9974541812639152,0.7563294,74833.23181641787
Al3.7Co19.3Cr19.3Fe19.3Mn19.3Ni19.3,CMA,843,982,1399,NAN,NAN,833.2439,978.07544,1395.4023,144.83154296875,0.5971352278548694,0.43886527246704976,CMA,0.9973479880186056,0.8301595,75091.50635407808
Al5.7Cr18.9Fe28.3Mn18.9Ni9.4Ti18.9,CMA,808,849,1260,NAN,NAN,812.4532,849.9207,1253.228,37.467529296875,0.6482883946963525,0.4114481507733647,CMA,0.9973261457547024,1.6062912,10826.628112447086
Al9.1Cr18.2Fe18.2Ni18.2Ti18.2V18.2,CMA,830,889,1285,NAN,NAN,826.4213,889.0588,1280.5609,62.637451171875,0.6453588558251842,0.4219583632440468,CMA,0.9972423006911814,0.7489964,212.01428861596764
