Tg,Tx,Tl,Rc,Dmax,Phase
795.0,880,1328,NAN,NAN,CMA
658,732,1079,NAN,NAN,CMA
881.0,1060,1444,NAN,NAN,CMA
346,464,894,NAN,NAN,CMA
613,683,1077,NAN,NAN,CMA
815.0,864,1272,NAN,NAN,CMA
803,813,1185,NAN,NAN,CMA
848.0,945,1337,NAN,NAN,CMA
805.0,807,1203,NAN,NAN,CMA
397,495,961,NAN,NAN,CMA
418,471,1066,NAN,NAN,CMA
679,712,1144,NAN,NAN,CMA
320,461,834,NAN,NAN,CMA
740.0,758,1229,NAN,NAN,CMA
809.0,821,1217,NAN,NAN,CMA
875.0,1047,1437,NAN,NAN,CMA
669,713,1127,NAN,NAN,CMA
758.0,770,1219,NAN,NAN,CMA
746,747,1199,NAN,NAN,CMA
863.0,977,1358,NAN,NAN,CMA
950.0,1135,1433,NAN,NAN,CMA
849.0,952,1346,NAN,NAN,CMA
849.0,952,1346,NAN,NAN,CMA
812.0,854,1262,NAN,NAN,CMA
867.0,1021,1412,NAN,NAN,CMA
846.0,943,1338,NAN,NAN,CMA
828.0,894,1296,NAN,NAN,CMA
879.0,992,1354,NAN,NAN,CMA
820,821,1198,NAN,NAN,CMA
816.0,845,1243,NAN,NAN,CMA
826.0,867,1260,NAN,NAN,CMA
826.0,887,1290,NAN,NAN,CMA
826.0,887,1290,NAN,NAN,CMA
793.0,888,1344,NAN,NAN,CMA
803.0,846,1264,NAN,NAN,CMA
817.0,863,1267,NAN,NAN,CMA
NAN,NAN,NAN,NAN,0.01,MG
822.0,835,1219,NAN,NAN,CMA
853.0,882,1240,NAN,NAN,CMA
806.0,848,1262,NAN,NAN,CMA
814.0,857,1265,NAN,NAN,CMA
812.0,845,1248,NAN,NAN,CMA
394,426,805,NAN,0.5,MMG
391,425,796,NAN,1.1,MMG
407,439,809,NAN,0.3,MMG
399,426,765,NAN,0.7,MMG
393,427,880,NAN,0.5,MMG
451,488,887,NAN,0.7,MMG
444,498,812,NAN,0.8,MMG
486,526,920,NAN,0.7,MMG
440,485,919,NAN,0.5,MMG
398,430,825,NAN,2,MMG
452,487,809,NAN,1,MMG
426,466,797,NAN,1.2,MMG
428,488,843,NAN,0.3,MMG
384,416,854,NAN,2,MMG
407,427,809,NAN,2,MMG
387,420,833,NAN,3,MMG
405,436,842,NAN,0.5,MMG
414,445,805,NAN,0.8,MMG
407,463,877,NAN,0.5,MMG
433,463,831,NAN,0.5,MMG
413,432,803,NAN,2.5,MMG
348,383,654,NAN,0.5,MMG
NAN,NAN,NAN,740000,NAN,MG
395,420,664,NAN,NAN,MMG
395,420,664,NAN,1,MMG
393,427,651,NAN,NAN,MMG
393,427,651,NAN,2,MMG
401,459,644,160,5,MMG
527,534,841,NAN,1,MMG
503,527,NAN,NAN,1.5,MMG
512,523,831,NAN,2,MMG
403,424,757,NAN,0.5,MMG
498,517,NAN,NAN,1.5,MMG
517,540,775,NAN,1.5,MMG
483,531,868,NAN,2,MMG
508,523,873,NAN,2,MMG
398,428,668,NAN,8,MMG
672,772,1113,40,10,MMG
399,428,714,NAN,0.5,MMG
399,436,680,NAN,4,MMG
400,438,678,NAN,6,MMG
395,430,694,NAN,0.5,MMG
400,439,655,NAN,9,MMG
402,439,731,NAN,2,MMG
386,405,679,NAN,2,MMG
356,385,702,NAN,0.5,MMG
401,436,717,NAN,1,MMG
390,416,676,NAN,2,MMG
387,412,678,NAN,4,MMG
405,429,691,NAN,0.5,MMG
377,409,744,NAN,1,MMG
387,405,759,NAN,0.5,MMG
380,405,668,NAN,5,MMG
377,412,659,NAN,2,MMG
371,397,688,NAN,0.5,MMG
375,418,751,NAN,1,MMG
378,415,660,NAN,4,MMG
377,410,630,NAN,6,MMG
513,539,873,NAN,1.5,MMG
463,491,776,NAN,1.5,MMG
420,460,771,NAN,1.5,MMG
397,437,706,NAN,3,MMG
401,442,690,NAN,8,MMG
406,439,655,NAN,7,MMG
399,442,691,NAN,1,MMG
399,426,720,NAN,2,MMG
