Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Al11.03Co17.79Cr17.79Fe17.79Mn17.79Ni17.79,CMA,806.0,860.0,1280.0,NAN,NAN
Al4.76Co19.05Cr19.05Cu9.52Fe19.05Ni19.05Ti9.52,CMA,841.0,944.0,1348.0,NAN,NAN
Al4.55Co18.18Cr18.18Cu13.64Fe18.18Ni18.18Ti9.09,CMA,835.0,946.0,1359.0,NAN,NAN
Al8.47Co16.95Fe16.95Ni16.95Fe16.95Ni16.95Ti6.78,CMA,827.0,971.0,1410.0,NAN,NAN
Al6.85Co13.70Cr13.70Cu13.70Fe13.70Ni13.70V24.66,CMA,831.0,892.0,1289.0,NAN,NAN
Al6.67Co13.33Cr13.33Cu13.33Fe13.33Ni13.33V26.67,CMA,831.0,894.0,1290.0,NAN,NAN
Al7.04Co14.08Cr14.08Cu14.08Fe14.08Ni14.08V22.54,CMA,835.0,904.0,1299.0,NAN,NAN
Al7.7Co11.5Cr11.5Cu11.5Fe11.5Mn11.5Ni11.5Ti11.5V11.5,CMA,778.0,810.0,1250.0,NAN,NAN
Al1.5Co12.3Cr12.3Cu12.3Fe12.3Mn12.3Ni12.3Ti12.3V12.3,CMA,820.0,853.0,1250.0,NAN,NAN
Al3.0Co12.1Cr12.1Cu12.1Fe12.1Mn12.1Ni12.1Ti12.1V12.1,CMA,805.0,832.0,1241.0,NAN,NAN
Al9.1Cr18.2Cu18.2Fe18.2Ni36.4,CMA,821.0,924.0,1352.0,NAN,NAN
Al9.1Cr22.7Cu22.7Fe22.7Ni22.7,CMA,812.0,903.0,1335.0,NAN,NAN
Al11.1Co22.2Cu22.2Fe22.2Ni22.2,CMA,800.0,890.0,1336.0,NAN,NAN
Al11.2Co22.2Cr22.2Fe22.2Ni22.2,CMA,845.0,984.0,1398.0,NAN,NAN
Al9.1Co18.2Cr18.2Fe18.2Ni18.2Ti18.2,CMA,807.0,833.0,1239.0,NAN,NAN
Al11.11Co22.22Cr22.22Fe22.22Ni22.22,CMA,845.0,984.0,1398.0,NAN,NAN
Al10Co20Cr20Cu10Fe20Ni20,CMA,821.0,926.0,1353.0,NAN,NAN
Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5Ti3.5,CMA,812.0,918.0,1357.0,NAN,NAN
Al8.8Co17.5Cr17.5Cu17.5Fe17.5Ni17.5V3.5,CMA,819.0,923.0,1352.0,NAN,NAN
Al11.97Co17.61Cr17.61Fe17.61Mn17.61Ni17.61,CMA,803.0,848.0,1267.0,NAN,NAN
Al8.77Co17.54Cr17.54Cu17.54Fe17.54Ni17.54Ti3.51,CMA,812.0,918.0,1357.0,NAN,NAN
Al8.77Co17.54Cr17.54Cu17.54Fe17.54Ni17.54V3.51,CMA,819.0,923.0,1352.0,NAN,NAN
